City_or_County,Day,Incident_Date,Incident_ID,Incident_Time,Latitude,Longitude,Month,State_Name,Total_Victims,US_Region,Victims_Injured,Victims_Killed,Year
Hawthorne,31,2023-12-31,2790854,12:30 AM,33.9025,-118.327,12,California,6,West,5,1,2023
Little River,31,2023-12-31,2791696,11:12 PM,33.8728,-78.6738,12,South Carolina,4,South,2,2,2023
Charlotte,31,2023-12-31,2791341,11:30 PM,35.2269,-80.8474,12,North Carolina,5,South,5,0,2023
Denver,30,2023-12-30,2790081,1:30 AM,39.7402,-105.05,12,Colorado,4,West,2,2,2023
Beaumont,30,2023-12-30,2790633,11:33 PM,30.1409,-94.134,12,Texas,5,South,4,1,2023
Gainesville,30,2023-12-30,2790559,9:00 PM,29.6662,-82.3037,12,Florida,4,South,4,0,2023
Orlando (Lockhart),24,2023-12-24,2786002,2:23 AM,28.6391,-81.4463,12,Florida,5,South,3,2,2023
Colorado Springs,24,2023-12-24,2786444,4:34 PM,38.8431,-104.764,12,Colorado,4,West,3,1,2023
Houston,24,2023-12-24,2786038,3:00 AM,29.6966,-95.3377,12,Texas,5,South,4,1,2023
Seattle,23,2023-12-23,2786401,2:45 AM,47.6009,-122.333,12,Washington,5,West,5,0,2023
Fort Worth,23,2023-12-23,2786253,11:15 PM,32.6187,-97.2965,12,Texas,5,South,4,1,2023
Gwynn Oak (Woodlawn),23,2023-12-23,2785646,4:05 AM,39.3166,-76.7378,12,Maryland,5,South,4,1,2023
Corona (Queens),22,2023-12-22,2784986,3:15 PM,40.6783,-73.7976,12,New York,4,Northeast,3,1,2023
Washington,21,2023-12-21,2784291,11:49 AM,38.8731,-77.0109,12,District of Columbia,4,South,2,2,2023
Philadelphia,20,2023-12-20,2783287,7:00 PM,39.9118,-75.24,12,Pennsylvania,4,Northeast,3,1,2023
Ridgeland,17,2023-12-17,2780660,2:30 AM,32.3203,-80.9373,12,South Carolina,4,South,2,2,2023
Gainestown,17,2023-12-17,2781391,,31.4765,-87.7407,12,Alabama,4,South,4,0,2023
Memphis,15,2023-12-15,2779489,12:05 AM,35.0408,-89.8317,12,Tennessee,5,South,3,2,2023
Los Angeles,15,2023-12-15,2779676,2:23 PM,33.9161,-118.27,12,California,5,West,4,1,2023
Ashland,14,2023-12-14,2779098,8:50 PM,39.921,-90.1188,12,Illinois,4,Midwest,1,3,2023
Madison,12,2023-12-12,2778224,4:00 PM,38.7471,-85.3537,12,Indiana,4,Midwest,0,4,2023
Las Vegas,11,2023-12-11,2775971,10:03 AM,36.2975,-115.291,12,Nevada,4,West,1,3,2023
Philadelphia,10,2023-12-10,2775245,4:12 AM,39.9869,-75.1605,12,Pennsylvania,4,Northeast,2,2,2023
Atlanta,9,2023-12-09,2775006,6:25 PM,33.8393,-84.3795,12,Georgia,4,South,1,3,2023
Peyton,6,2023-12-06,2773914,11:40 PM,39.0936,-104.419,12,Colorado,4,West,1,3,2023
Las Vegas,6,2023-12-06,2772021,11:46 AM,36.1077,-115.138,12,Nevada,4,West,1,3,2023
Austin,5,2023-12-05,2771255,10:40 AM,30.3242,-97.691,12,Texas,9,South,3,6,2023
Lugoff,4,2023-12-04,2770296,4:30 AM,34.1612,-80.7245,12,South Carolina,5,South,4,1,2023
Dallas,3,2023-12-03,2769819,4:20 PM,32.6798,-96.6557,12,Texas,5,South,1,4,2023
Houston,3,2023-12-03,2769728,1:47 AM,29.6998,-95.3412,12,Texas,4,South,3,1,2023
Vancouver,3,2023-12-03,2770132,1:06 PM,45.6891,-122.554,12,Washington,4,West,0,4,2023
Columbus,2,2023-12-02,2769880,4:30 AM,39.9733,-82.9699,12,Ohio,4,Midwest,4,0,2023
Cleveland,2,2023-12-02,2770501,3:24 AM,41.5093,-81.6784,12,Ohio,4,Midwest,4,0,2023
Fresno,2,2023-12-02,2769181,4:20 AM,36.7574,-119.753,12,California,4,West,2,2,2023
Aurora,2,2023-12-02,2769379,12:15 AM,39.7366,-104.861,12,Colorado,4,West,4,0,2023
Mccomb,2,2023-12-02,2769574,6:45 PM,31.2269,-90.463,12,Mississippi,5,South,5,0,2023
Las Vegas,1,2023-12-01,2768663,5:30 PM,36.1589,-115.094,12,Nevada,5,West,4,1,2023
Lexington,29,2023-11-29,2767813,9:30 PM,35.7161,-80.2682,11,North Carolina,5,South,5,0,2023
Chicago,29,2023-11-29,2767246,8:33 PM,41.873,-87.7158,11,Illinois,4,Midwest,3,1,2023
Winston Salem (Winston-salem),26,2023-11-26,2764105,2:30 AM,36.1459,-80.2268,11,North Carolina,4,South,4,0,2023
Los Angeles,26,2023-11-26,2764540,3:00 AM,33.9355,-118.291,11,California,4,West,0,4,2023
Fontana,25,2023-11-25,2766505,5:30 AM,34.1292,-117.466,11,California,4,West,1,3,2023
Memphis,23,2023-11-23,2763545,9:30 PM,35.0948,-89.9725,11,Tennessee,4,South,4,0,2023
Decatur,23,2023-11-23,2762964,3:00 AM,33.6978,-84.2499,11,Georgia,4,South,4,0,2023
Chicago,23,2023-11-23,2762712,12:10 AM,41.88,-87.6772,11,Illinois,5,Midwest,5,0,2023
Lumberton,22,2023-11-22,2762803,11:44 PM,34.6188,-79.0081,11,North Carolina,6,South,6,0,2023
Goodman,22,2023-11-22,2762681,12:00 PM,32.9708,-89.9117,11,Mississippi,4,South,3,1,2023
Philadelphia,21,2023-11-21,2761566,8:30 PM,40.0001,-75.1401,11,Pennsylvania,7,Northeast,5,2,2023
Fairborn (Beavercreek),20,2023-11-20,2760537,8:30 PM,39.7706,-84.0575,11,Ohio,4,Midwest,4,0,2023
Westcliffe,20,2023-11-20,2760730,1:00 PM,38.2155,-105.361,11,Colorado,4,West,1,3,2023
Port Arthur,19,2023-11-19,2759654,12:20 AM,29.9198,-93.9219,11,Texas,5,South,5,0,2023
Memphis,18,2023-11-18,2758871,5:43 PM,35.0484,-90.1023,11,Tennessee,5,South,1,4,2023
Little Rock,18,2023-11-18,2759002,7:29 PM,34.7415,-92.353,11,Arkansas,4,South,3,1,2023
Spring Valley,18,2023-11-18,2759046,8:15 PM,32.7287,-117.006,11,California,5,West,5,0,2023
Willoughby,16,2023-11-16,2757292,4:30 PM,41.647,-81.3841,11,Ohio,4,Midwest,1,3,2023
Springfield,14,2023-11-14,2755393,6:20 PM,42.1123,-72.6023,11,Massachusetts,4,Northeast,3,1,2023
Puyallup,12,2023-11-12,2753283,1:39 AM,47.1183,-122.276,11,Washington,6,West,6,0,2023
Pearland,12,2023-11-12,2753565,5:34 PM,29.5954,-95.287,11,Texas,5,South,4,1,2023
Portsmouth,11,2023-11-11,2753236,11:01 PM,36.8232,-76.3445,11,Virginia,4,South,4,0,2023
Birmingham,10,2023-11-10,2752316,4:40 PM,33.5109,-86.8774,11,Alabama,4,South,4,0,2023
Independence,10,2023-11-10,2752208,2:20 PM,39.0455,-94.3581,11,Missouri,4,Midwest,4,0,2023
Phoenix,5,2023-11-05,2747768,12:30 AM,33.4987,-112.105,11,Arizona,4,West,4,0,2023
Indianapolis,5,2023-11-05,2747938,1:20 AM,39.6808,-86.1299,11,Indiana,6,Midwest,5,1,2023
Hempstead,5,2023-11-05,2748473,10:45 PM,30.1027,-95.97,11,Texas,7,South,7,0,2023
Atlanta,5,2023-11-05,2748157,4:00 PM,33.687,-84.3554,11,Georgia,6,South,6,0,2023
Tacoma,5,2023-11-05,2748070,1:30 AM,47.2554,-122.472,11,Washington,5,West,3,2,2023
Denver,5,2023-11-05,2747734,3:00 AM,39.7635,-104.923,11,Colorado,5,West,3,2,2023
Cleveland (Richmond Heights),4,2023-11-04,2747153,2:45 AM,41.5495,-81.5191,11,Ohio,4,Midwest,3,1,2023
Galveston,4,2023-11-04,2748287,10:50 PM,29.3079,-94.7923,11,Texas,6,South,6,0,2023
Cincinnati,3,2023-11-03,2746785,9:30 PM,39.1123,-84.524,11,Ohio,6,Midwest,5,1,2023
Dallas,1,2023-11-01,2744799,1:30 AM,32.7701,-96.7551,11,Texas,5,South,5,0,2023
Salinas,31,2023-10-31,2745105,11:30 PM,36.7031,-121.646,10,California,7,West,7,0,2023
Minneapolis,30,2023-10-30,2743289,3:18 AM,44.9638,-93.2469,10,Minnesota,4,Midwest,4,0,2023
Wilson,29,2023-10-29,2743711,12:20 AM,35.6983,-77.9314,10,North Carolina,4,South,4,0,2023
Dodge City,29,2023-10-29,2742403,1:15 AM,37.7524,-100.014,10,Kansas,4,Midwest,2,2,2023
Tampa,29,2023-10-29,2742030,2:47 AM,27.9603,-82.4414,10,Florida,17,South,15,2,2023
Indianapolis,29,2023-10-29,2742012,12:30 AM,39.8762,-86.081,10,Indiana,10,Midwest,9,1,2023
Atlanta,29,2023-10-29,2742160,5:00 AM,33.7574,-84.3823,10,Georgia,4,South,3,1,2023
Chicago,29,2023-10-29,2742143,1:00 AM,41.8645,-87.7254,10,Illinois,15,Midwest,15,0,2023
Wiggins,29,2023-10-29,2743269,,30.9243,-89.1724,10,Mississippi,4,South,3,1,2023
Azusa,29,2023-10-29,2743031,10:27 PM,34.1113,-117.913,10,California,4,West,4,0,2023
Las Cruces,28,2023-10-28,2742572,11:30 PM,32.3053,-106.733,10,New Mexico,7,West,7,0,2023
Lake Charles,28,2023-10-28,2742231,11:55 PM,30.2423,-93.1465,10,Louisiana,6,South,6,0,2023
Chula Vista,28,2023-10-28,2742471,7:16 PM,32.6217,-116.966,10,California,4,West,4,0,2023
Decatur,28,2023-10-28,2742414,11:05 PM,33.7389,-84.2832,10,Georgia,4,South,4,0,2023
Texarkana,28,2023-10-28,2741949,9:00 PM,33.4272,-94.0431,10,Texas,6,South,3,3,2023
Chicago,28,2023-10-28,2741453,12:47 AM,41.918,-87.7596,10,Illinois,4,Midwest,4,0,2023
Cumberland,28,2023-10-28,2741772,1:40 AM,39.6508,-78.7628,10,Maryland,4,South,3,1,2023
Little Rock,27,2023-10-27,2746094,5:00 PM,34.6701,-92.3623,10,Arkansas,5,South,4,1,2023
Mansfield,27,2023-10-27,2741490,11:40 PM,40.7363,-82.5083,10,Ohio,6,Midwest,4,2,2023
Clinton,26,2023-10-26,2739575,12:41 AM,34.8654,-78.3435,10,North Carolina,5,South,0,5,2023
Lewiston,25,2023-10-25,2738185,6:56 PM,44.1254,-70.1972,10,Maine,31,Northeast,13,18,2023
Greenville,24,2023-10-24,2737798,7:20 PM,35.5892,-77.3501,10,North Carolina,4,South,3,1,2023
Chicago,23,2023-10-23,2736792,9:11 PM,41.782,-87.6633,10,Illinois,4,Midwest,3,1,2023
Durango,23,2023-10-23,2737647,9:30 PM,37.2607,-107.878,10,Colorado,4,West,3,1,2023
Meridian,22,2023-10-22,2735504,,32.3626,-88.7016,10,Mississippi,4,South,3,1,2023
Pine Bluff,22,2023-10-22,2735299,12:41 AM,34.2313,-92.0202,10,Arkansas,4,South,3,1,2023
College Station,21,2023-10-21,2735026,1:38 AM,30.608,-96.3078,10,Texas,4,South,4,0,2023
Borger,21,2023-10-21,2735343,9:30 PM,35.6737,-101.39,10,Texas,4,South,3,1,2023
Santa Maria,21,2023-10-21,2735073,12:32 AM,34.9622,-120.43,10,California,4,West,3,1,2023
Fayetteville,21,2023-10-21,2735271,9:27 PM,35.0782,-78.8974,10,North Carolina,4,South,3,1,2023
Monroe,21,2023-10-21,2735817,10:16 PM,32.5136,-92.0819,10,Louisiana,6,South,5,1,2023
Oakley,21,2023-10-21,2735260,11:12 PM,37.9718,-121.727,10,California,4,West,3,1,2023
Alexandria,20,2023-10-20,2735403,6:41 PM,31.3088,-92.4627,10,Louisiana,4,South,4,0,2023
Lincoln,20,2023-10-20,2734098,12:45 AM,40.8136,-96.7026,10,Nebraska,4,Midwest,4,0,2023
Toppenish,19,2023-10-19,2733549,5:00 AM,46.3787,-120.307,10,Washington,4,West,1,3,2023
Columbus,18,2023-10-18,2733136,5:15 PM,39.9705,-82.9659,10,Ohio,4,Midwest,4,0,2023
Augusta,17,2023-10-17,2732484,6:00 PM,33.4668,-81.9494,10,Georgia,4,South,4,0,2023
Severn,16,2023-10-16,2731511,8:40 PM,39.1206,-76.7084,10,Maryland,4,South,4,0,2023
Los Angeles,16,2023-10-16,2731681,9:30 PM,34.1508,-118.366,10,California,4,West,1,3,2023
Barnwell,15,2023-10-15,2731021,12:00 AM,33.2403,-81.3989,10,South Carolina,6,South,5,1,2023
Minneapolis,15,2023-10-15,2730602,12:10 AM,44.9829,-93.2752,10,Minnesota,4,Midwest,4,0,2023
Denver,14,2023-10-14,2729845,1:37 AM,39.7718,-104.844,10,Colorado,6,West,3,3,2023
Cleveland,13,2023-10-13,2730782,11:00 PM,33.7208,-90.7189,10,Mississippi,4,South,2,2,2023
Kansas City,13,2023-10-13,2729811,4:30 PM,39.1009,-94.5421,10,Missouri,5,Midwest,5,0,2023
Princeton,12,2023-10-12,2728246,8:00 AM,45.5709,-93.7705,10,Minnesota,5,Midwest,5,0,2023
Madison,10,2023-10-10,2727876,8:00 PM,43.0985,-89.2805,10,Wisconsin,4,Midwest,3,1,2023
Chicago,8,2023-10-08,2725771,2:38 AM,41.894,-87.6356,10,Illinois,8,Midwest,8,0,2023
Indiana,8,2023-10-08,2725838,12:30 AM,40.6328,-79.1452,10,Pennsylvania,9,Northeast,8,1,2023
Gonzales,8,2023-10-08,2726444,9:00 PM,30.2484,-90.9262,10,Louisiana,7,South,7,0,2023
Chicago,7,2023-10-07,2725206,12:32 PM,41.9737,-87.6581,10,Illinois,4,Midwest,4,0,2023
Inglewood,7,2023-10-07,2725669,4:40 PM,33.9603,-118.33,10,California,5,West,3,2,2023
Reno,6,2023-10-06,2725422,10:45 PM,39.5375,-119.862,10,Nevada,7,West,7,0,2023
Florence,6,2023-10-06,2725126,10:45 PM,34.2093,-79.7562,10,South Carolina,4,South,4,0,2023
Washington,6,2023-10-06,2725133,11:30 PM,38.9118,-77.0065,10,District of Columbia,5,South,5,0,2023
Philadelphia,4,2023-10-04,2723247,7:30 PM,40.0606,-75.0741,10,Pennsylvania,4,Northeast,4,0,2023
Saint Paul,4,2023-10-04,2723237,7:47 PM,44.9775,-93.0354,10,Minnesota,4,Midwest,3,1,2023
