year,state,candidatevotes,party_simplified
2012,ALABAMA,1255925,REPUBLICAN
2012,ALABAMA,795696,DEMOCRAT
2012,ALABAMA,18706,OTHER
2012,ALABAMA,4011,OTHER
2012,ALASKA,164676,REPUBLICAN
2012,ALASKA,122640,DEMOCRAT
2012,ALASKA,7392,LIBERTARIAN
2012,ALASKA,2917,OTHER
2012,ALASKA,2870,OTHER
2012,ARIZONA,1233654,REPUBLICAN
2012,ARIZONA,1025232,DEMOCRAT
2012,ARIZONA,32100,LIBERTARIAN
2012,ARIZONA,7816,OTHER
2012,ARIZONA,452,OTHER
2012,ARKANSAS,647744,REPUBLICAN
2012,ARKANSAS,394409,DEMOCRAT
2012,ARKANSAS,16276,LIBERTARIAN
2012,ARKANSAS,9305,OTHER
2012,ARKANSAS,1734,OTHER
2012,CALIFORNIA,7854285,DEMOCRAT
2012,CALIFORNIA,4839958,REPUBLICAN
2012,CALIFORNIA,143221,LIBERTARIAN
2012,CALIFORNIA,85638,OTHER
2012,CALIFORNIA,53824,OTHER
2012,CALIFORNIA,38372,OTHER
2012,CALIFORNIA,23249,OTHER
2012,COLORADO,1323101,DEMOCRAT
2012,COLORADO,1185243,REPUBLICAN
2012,COLORADO,35545,LIBERTARIAN
2012,COLORADO,7508,OTHER
2012,COLORADO,6234,OTHER
2012,COLORADO,5057,OTHER
2012,COLORADO,2588,OTHER
2012,COLORADO,1262,OTHER
2012,COLORADO,791,OTHER
2012,COLORADO,679,OTHER
2012,COLORADO,317,OTHER
2012,COLORADO,308,OTHER
2012,COLORADO,267,OTHER
2012,COLORADO,235,OTHER
2012,COLORADO,192,OTHER
2012,COLORADO,189,OTHER
2012,CONNECTICUT,905083,DEMOCRAT
2012,CONNECTICUT,634892,REPUBLICAN
2012,CONNECTICUT,12340,LIBERTARIAN
2012,CONNECTICUT,4971,OTHER
2012,CONNECTICUT,918,OTHER
2012,DELAWARE,242584,DEMOCRAT
2012,DELAWARE,165484,REPUBLICAN
2012,DELAWARE,3882,LIBERTARIAN
2012,DELAWARE,1940,OTHER
2012,DISTRICT OF COLUMBIA,267070,DEMOCRAT
2012,DISTRICT OF COLUMBIA,21381,REPUBLICAN
2012,DISTRICT OF COLUMBIA,2458,OTHER
2012,DISTRICT OF COLUMBIA,2083,LIBERTARIAN
2012,DISTRICT OF COLUMBIA,772,OTHER
2012,FLORIDA,4237756,DEMOCRAT
2012,FLORIDA,4163447,REPUBLICAN
2012,FLORIDA,44726,LIBERTARIAN
2012,FLORIDA,8947,OTHER
2012,FLORIDA,8154,OTHER
2012,FLORIDA,3856,OTHER
2012,FLORIDA,2607,OTHER
2012,FLORIDA,1754,OTHER
2012,FLORIDA,946,OTHER
2012,FLORIDA,820,OTHER
2012,FLORIDA,799,OTHER
2012,FLORIDA,322,OTHER
2012,FLORIDA,45,OTHER
2012,GEORGIA,2078688,REPUBLICAN
2012,GEORGIA,1773827,DEMOCRAT
2012,GEORGIA,45324,LIBERTARIAN
2012,HAWAII,306658,DEMOCRAT
2012,HAWAII,121015,REPUBLICAN
2012,HAWAII,3840,LIBERTARIAN
2012,HAWAII,3184,OTHER
2012,HAWAII,2227,OTHER
2012,HAWAII,235,OTHER
2012,IDAHO,420911,REPUBLICAN
2012,IDAHO,212787,DEMOCRAT
2012,IDAHO,9453,LIBERTARIAN
2012,IDAHO,6901,OTHER
2012,IDAHO,2222,OTHER
2012,ILLINOIS,3019512,DEMOCRAT
2012,ILLINOIS,2135216,REPUBLICAN
2012,ILLINOIS,56229,LIBERTARIAN
2012,ILLINOIS,30222,OTHER
2012,ILLINOIS,835,OTHER
2012,INDIANA,1420543,REPUBLICAN
2012,INDIANA,1152887,DEMOCRAT
2012,INDIANA,50111,LIBERTARIAN
2012,INDIANA,993,OTHER
2012,IOWA,822544,DEMOCRAT
2012,IOWA,730617,REPUBLICAN
2012,IOWA,12926,LIBERTARIAN
2012,IOWA,7442,OTHER
2012,IOWA,3769,OTHER
2012,IOWA,3038,OTHER
2012,IOWA,1027,OTHER
2012,IOWA,445,OTHER
2012,IOWA,372,OTHER
2012,KANSAS,692634,REPUBLICAN
2012,KANSAS,440726,DEMOCRAT
2012,KANSAS,20456,LIBERTARIAN
2012,KANSAS,5017,OTHER
2012,KANSAS,1138,OTHER
2012,KENTUCKY,1087190,REPUBLICAN
2012,KENTUCKY,679370,DEMOCRAT
2012,KENTUCKY,17063,LIBERTARIAN
2012,KENTUCKY,6872,OTHER
2012,KENTUCKY,6337,OTHER
2012,KENTUCKY,380,OTHER
2012,LOUISIANA,1152262,REPUBLICAN
2012,LOUISIANA,809141,DEMOCRAT
2012,LOUISIANA,18157,LIBERTARIAN
2012,LOUISIANA,6978,OTHER
2012,LOUISIANA,2508,OTHER
2012,LOUISIANA,1767,OTHER
2012,LOUISIANA,1368,OTHER
2012,LOUISIANA,622,OTHER
2012,LOUISIANA,518,OTHER
2012,LOUISIANA,389,OTHER
2012,LOUISIANA,355,OTHER
2012,MAINE,401306,DEMOCRAT
2012,MAINE,292276,REPUBLICAN
2012,MAINE,11578,OTHER
2012,MAINE,9352,LIBERTARIAN
2012,MAINE,8119,OTHER
2012,MAINE,2127,OTHER
2012,MARYLAND,1677844,DEMOCRAT
2012,MARYLAND,971869,REPUBLICAN
2012,MARYLAND,30195,LIBERTARIAN
2012,MARYLAND,17110,OTHER
2012,MARYLAND,10309,OTHER
2012,MASSACHUSETTS,1921290,DEMOCRAT
2012,MASSACHUSETTS,1188314,REPUBLICAN
2012,MASSACHUSETTS,30920,LIBERTARIAN
2012,MASSACHUSETTS,20691,OTHER
2012,MASSACHUSETTS,16429,OTHER
2012,MASSACHUSETTS,6552,OTHER
2012,MICHIGAN,2564569,DEMOCRAT
2012,MICHIGAN,2115256,REPUBLICAN
2012,MICHIGAN,21897,OTHER
2012,MICHIGAN,16119,OTHER
2012,MICHIGAN,7973,OTHER
2012,MICHIGAN,5147,OTHER
2012,MINNESOTA,1546167,DEMOCRAT
2012,MINNESOTA,1320225,REPUBLICAN
2012,MINNESOTA,35098,LIBERTARIAN
2012,MINNESOTA,13023,OTHER
2012,MINNESOTA,10641,OTHER
2012,MINNESOTA,3722,OTHER
2012,MINNESOTA,3149,OTHER
2012,MINNESOTA,1996,OTHER
2012,MINNESOTA,1092,OTHER
2012,MINNESOTA,1051,OTHER
2012,MINNESOTA,397,OTHER
2012,MISSISSIPPI,710746,REPUBLICAN
2012,MISSISSIPPI,562949,DEMOCRAT
2012,MISSISSIPPI,6676,LIBERTARIAN
2012,MISSISSIPPI,2609,OTHER
2012,MISSISSIPPI,1588,OTHER
2012,MISSISSIPPI,1016,OTHER
2012,MISSOURI,1482440,REPUBLICAN
2012,MISSOURI,1223796,DEMOCRAT
2012,MISSOURI,43151,LIBERTARIAN
2012,MISSOURI,7936,OTHER
2012,MONTANA,267928,REPUBLICAN
2012,MONTANA,201839,DEMOCRAT
2012,MONTANA,14165,LIBERTARIAN
2012,MONTANA,116,OTHER
2012,NEBRASKA,475064,REPUBLICAN
2012,NEBRASKA,302081,DEMOCRAT
2012,NEBRASKA,11109,LIBERTARIAN
2012,NEBRASKA,3717,OTHER
2012,NEBRASKA,2408,OTHER
2012,NEVADA,531373,DEMOCRAT
2012,NEVADA,463567,REPUBLICAN
2012,NEVADA,10968,LIBERTARIAN
2012,NEVADA,5770,OTHER
2012,NEVADA,3240,OTHER
2012,NEW HAMPSHIRE,369561,DEMOCRAT
2012,NEW HAMPSHIRE,329918,REPUBLICAN
2012,NEW HAMPSHIRE,8212,LIBERTARIAN
2012,NEW HAMPSHIRE,1698,OTHER
2012,NEW HAMPSHIRE,875,OTHER
2012,NEW HAMPSHIRE,708,OTHER
2012,NEW JERSEY,2122786,DEMOCRAT
2012,NEW JERSEY,1478088,REPUBLICAN
2012,NEW JERSEY,21035,LIBERTARIAN
2012,NEW JERSEY,9886,OTHER
2012,NEW JERSEY,2063,OTHER
2012,NEW JERSEY,1723,OTHER
2012,NEW JERSEY,1024,OTHER
2012,NEW JERSEY,709,OTHER
2012,NEW JERSEY,664,OTHER
2012,NEW JERSEY,521,OTHER
2012,NEW MEXICO,415335,DEMOCRAT
2012,NEW MEXICO,335788,REPUBLICAN
2012,NEW MEXICO,27788,LIBERTARIAN
2012,NEW MEXICO,2691,OTHER
2012,NEW MEXICO,1174,OTHER
2012,NEW MEXICO,982,OTHER
2012,NEW YORK,4324228,DEMOCRAT
2012,NEW YORK,2223397,REPUBLICAN
2012,NEW YORK,262035,OTHER
2012,NEW YORK,147643,OTHER
2012,NEW YORK,63881,OTHER
2012,NEW YORK,47092,LIBERTARIAN
2012,NEW YORK,39856,OTHER
2012,NEW YORK,6270,OTHER
2012,NEW YORK,2039,OTHER
2012,NEW YORK,343,OTHER
2012,NORTH CAROLINA,2270395,REPUBLICAN
2012,NORTH CAROLINA,2178391,DEMOCRAT
2012,NORTH CAROLINA,44515,LIBERTARIAN
2012,NORTH CAROLINA,12071,OTHER
2012,NORTH DAKOTA,188320,REPUBLICAN
2012,NORTH DAKOTA,124966,DEMOCRAT
2012,NORTH DAKOTA,5238,LIBERTARIAN
2012,NORTH DAKOTA,1860,OTHER
2012,NORTH DAKOTA,1186,OTHER
2012,NORTH DAKOTA,1362,OTHER
2012,OHIO,2827621,DEMOCRAT
2012,OHIO,2661407,REPUBLICAN
2012,OHIO,49493,LIBERTARIAN
2012,OHIO,18574,OTHER
2012,OHIO,12502,OTHER
2012,OHIO,8151,OTHER
2012,OHIO,2967,OTHER
2012,OHIO,107,OTHER
2012,OKLAHOMA,891325,REPUBLICAN
2012,OKLAHOMA,443547,DEMOCRAT
2012,OREGON,970488,DEMOCRAT
2012,OREGON,754175,REPUBLICAN
2012,OREGON,24089,LIBERTARIAN
2012,OREGON,19427,OTHER
2012,OREGON,13275,OTHER
2012,OREGON,4432,OTHER
2012,OREGON,3384,OTHER
2012,PENNSYLVANIA,2990274,DEMOCRAT
2012,PENNSYLVANIA,2680434,REPUBLICAN
2012,PENNSYLVANIA,49991,LIBERTARIAN
2012,PENNSYLVANIA,21341,OTHER
2012,RHODE ISLAND,279677,DEMOCRAT
2012,RHODE ISLAND,157204,REPUBLICAN
2012,RHODE ISLAND,4388,LIBERTARIAN
2012,RHODE ISLAND,2421,OTHER
2012,RHODE ISLAND,1381,OTHER
2012,RHODE ISLAND,430,OTHER
2012,RHODE ISLAND,416,OTHER
2012,RHODE ISLAND,132,OTHER
2012,SOUTH CAROLINA,1071645,REPUBLICAN
2012,SOUTH CAROLINA,865941,DEMOCRAT
2012,SOUTH CAROLINA,16321,LIBERTARIAN
2012,SOUTH CAROLINA,5446,OTHER
2012,SOUTH CAROLINA,4765,OTHER
2012,SOUTH DAKOTA,210610,REPUBLICAN
2012,SOUTH DAKOTA,145039,DEMOCRAT
2012,SOUTH DAKOTA,5795,LIBERTARIAN
2012,SOUTH DAKOTA,2371,OTHER
2012,TENNESSEE,1462330,REPUBLICAN
2012,TENNESSEE,960709,DEMOCRAT
2012,TENNESSEE,23001,OTHER
2012,TENNESSEE,6515,OTHER
2012,TENNESSEE,6022,OTHER
2012,TEXAS,4569843,REPUBLICAN
2012,TEXAS,3308124,DEMOCRAT
2012,TEXAS,88580,LIBERTARIAN
2012,TEXAS,24657,OTHER
2012,TEXAS,2647,OTHER
2012,UTAH,740600,REPUBLICAN
2012,UTAH,251813,DEMOCRAT
2012,UTAH,12572,LIBERTARIAN
2012,UTAH,5335,OTHER
2012,UTAH,3817,OTHER
2012,UTAH,2871,OTHER
2012,UTAH,393,OTHER
2012,UTAH,39,OTHER
2012,VERMONT,199239,DEMOCRAT
2012,VERMONT,92698,REPUBLICAN
2012,VERMONT,3487,LIBERTARIAN
2012,VERMONT,2043,OTHER
2012,VERMONT,1128,OTHER
2012,VERMONT,695,OTHER
2012,VIRGINIA,1971820,DEMOCRAT
2012,VIRGINIA,1822522,REPUBLICAN
2012,VIRGINIA,31216,LIBERTARIAN
2012,VIRGINIA,13058,OTHER
2012,VIRGINIA,8627,OTHER
2012,VIRGINIA,7246,OTHER
2012,WASHINGTON,1755396,DEMOCRAT
2012,WASHINGTON,1290670,REPUBLICAN
2012,WASHINGTON,42202,LIBERTARIAN
2012,WASHINGTON,20928,OTHER
2012,WASHINGTON,8851,OTHER
2012,WASHINGTON,4946,OTHER
2012,WASHINGTON,1318,OTHER
2012,WASHINGTON,1205,OTHER
2012,WEST VIRGINIA,417655,REPUBLICAN
2012,WEST VIRGINIA,238269,DEMOCRAT
2012,WEST VIRGINIA,6302,LIBERTARIAN
2012,WEST VIRGINIA,4406,OTHER
2012,WEST VIRGINIA,3806,OTHER
2012,WISCONSIN,1620985,DEMOCRAT
2012,WISCONSIN,1410966,REPUBLICAN
2012,WISCONSIN,29383,OTHER
2012,WISCONSIN,5170,OTHER
2012,WISCONSIN,4930,OTHER
2012,WYOMING,170962,REPUBLICAN
2012,WYOMING,69286,DEMOCRAT
2012,WYOMING,5326,LIBERTARIAN
2012,WYOMING,2035,OTHER
2012,WYOMING,1452,OTHER
2012,WYOMING,1367,OTHER
2012,WYOMING,273,OTHER
2016,ALABAMA,1318255,REPUBLICAN
2016,ALABAMA,729547,DEMOCRAT
2016,ALABAMA,44467,LIBERTARIAN
2016,ALABAMA,21712,OTHER
2016,ALABAMA,9391,OTHER
2016,ALASKA,163387,REPUBLICAN
2016,ALASKA,116454,DEMOCRAT
2016,ALASKA,18725,LIBERTARIAN
2016,ALASKA,9201,OTHER
2016,ALASKA,5735,OTHER
2016,ALASKA,3866,OTHER
2016,ALASKA,1240,OTHER
2016,ARIZONA,1252401,REPUBLICAN
2016,ARIZONA,1161167,DEMOCRAT
2016,ARIZONA,106327,LIBERTARIAN
2016,ARIZONA,34345,OTHER
2016,ARIZONA,17473,OTHER
2016,ARIZONA,1058,OTHER
2016,ARIZONA,311,OTHER
2016,ARIZONA,42,DEMOCRAT
2016,ARIZONA,29,OTHER
2016,ARIZONA,12,OTHER
2016,ARKANSAS,684872,REPUBLICAN
2016,ARKANSAS,380494,DEMOCRAT
2016,ARKANSAS,29829,LIBERTARIAN
2016,ARKANSAS,13255,OTHER
