NAME,COLOR,REGION,NUM_INCIDENT,AVG_POPULATION,INCIDENT_RATE
Michigan,PURPLE,Midwest,14,9993546,0.1400904143534237
Iowa,PURPLE,Midwest,1,3160246,3.1643106264512319E-2
Alabama,RED,South,11,4948763,0.22227776921222536
Idaho,RED,West,0,1787746,0
Oklahoma,RED,South,3,3957250,7.5810221744898598E-2
Arizona,PURPLE,West,5,7123810,7.0187161083745911E-2
Hawaii,BLUE,West,0,1429747,0
Ohio,PURPLE,Midwest,18,11698883,0.15386084295398117
Maryland,BLUE,South,14,6074448,0.23047361669735258
South Dakota,RED,Midwest,0,881567,0
Arkansas,RED,South,5,3012116,0.16599626309212526
South Carolina,RED,South,11,5091017,0.2160668487259029
Pennsylvania,PURPLE,Northeast,22,12868883,0.17095500829403765
Tennessee,RED,South,14,6815327,0.20541934378203716
Minnesota,BLUE,Midwest,6,5614872,0.10685906998414212
Oregon,BLUE,West,2,4158650,4.8092530027773438E-2
Louisiana,RED,South,21,4640666,0.45252125449235087
Mississippi,RED,South,10,2969916,0.33670985980748275
West Virginia,RED,South,0,1805692,0
Nebraska,RED,Midwest,1,1932614,5.1743390040639256E-2
Massachusetts,BLUE,Northeast,4,6898916,5.7980123254146011E-2
Colorado,BLUE,West,7,5671731,0.12341911137887181
California,BLUE,West,42,39166851,0.1072335378710941
New Mexico,BLUE,West,2,2101512,9.5169573145430522E-2
Utah,RED,West,0,3184336,0
Georgia,PURPLE,South,18,10555165,0.17053262549661705
New York,BLUE,Northeast,20,19671627,0.10166927219593987
Vermont,BLUE,Northeast,0,633138,0
Texas,RED,South,33,28759741,0.11474373152386873
Missouri,RED,Midwest,14,6127893,0.22846351919003807
Maine,BLUE,Northeast,0,1353633,0
District of Columbia,BLUE,South,7,681554,1.0270646199714182
Washington,BLUE,West,6,7513856,7.9852475213791699E-2
Illinois,BLUE,Midwest,46,12735055,0.36120770581673972
Montana,RED,West,0,1072439,0
Rhode Island,BLUE,Northeast,0,1072543,0
New Hampshire,BLUE,Northeast,0,1364121,0
Connecticut,BLUE,Northeast,2,3587705,5.5745943437378494E-2
Kentucky,RED,South,5,4471307,0.11182412659206804
North Dakota,RED,Midwest,0,764136,0
Florida,PURPLE,South,26,21263235,0.12227678431809647
Nevada,BLUE,West,3,3031360,9.8965480840282907E-2
Wyoming,RED,West,0,581054,0
North Carolina,RED,South,14,10380962,0.13486226035698812
New Jersey,BLUE,Northeast,10,9035026,0.11068036771559926
Kansas,RED,Midwest,2,2920705,6.8476617802893477E-2
Indiana,RED,Midwest,10,6721953,0.14876628860689742
Wisconsin,PURPLE,Midwest,6,5828329,0.10294545829516487
Delaware,BLUE,South,1,976681,0.10238757588199218
Virginia,BLUE,South,10,8527263,0.11727092268644698
Alaska,RED,West,0,735619,0
