"Incident_ID","Incident_Date","Incident_Time","State_Name","City_or_County","Business_or_Location_Name","Address","Latitude","Longitude","Victims_Killed","Victims_Injured","Suspects_Killed","Suspects_Injured","Suspects_Arrested","Incident_Characteristics","Year","Month","Day"
2790854,2023-12-31,"12:30 AM","California","Hawthorne","Crenrose Plaza","14125 Crenshaw Blvd",33.9025,-118.327,1,5,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","12",31
2791696,2023-12-31,"11:12 PM","South Carolina","Little River","Drinking Class Sports Bar and Grille","3389 Hwy 9 E",33.8728,-78.6738,2,2,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Drive-by (car to street, car to car)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment
Gang involvement
Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","2023","12",31
2791341,2023-12-31,"11:30 PM","North Carolina","Charlotte","Romare Bearden Park","300 S Church St",35.2269,-80.8474,0,5,0,0,1,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","12",31
2790081,2023-12-30,"1:30 AM","Colorado","Denver","The Viking","4888 W Colfax Ave",39.7402,-105.05,2,2,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment","2023","12",30
2790633,2023-12-30,"11:33 PM","Texas","Beaumont","","6500 block of Bigner Rd",30.1409,-94.134,1,4,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party","2023","12",30
2790559,2023-12-30,"9:00 PM","Florida","Gainesville","Rose Food Store","1631 NE 16th Ave",29.6662,-82.3037,0,4,0,0,0,"Shot - Wounded/Injured
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",30
2786002,2023-12-24,"2:23 AM","Florida","Orlando (Lockhart)","","2800 block of Sudman Way",28.6391,-81.4463,2,3,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",24
2786444,2023-12-24,"4:34 PM","Colorado","Colorado Springs","Citadel Mall","750 Citadel Dr E",38.8431,-104.764,1,3,0,0,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",24
2786038,2023-12-24,"3:00 AM","Texas","Houston","Nawlins Dshop","5828 Martin Luther King Blvd",29.6966,-95.3377,1,4,0,0,0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Shootout (where VENN diagram of shooters and victims overlap)
Bar/club incident - in or around establishment","2023","12",24
2786401,2023-12-23,"2:45 AM","Washington","Seattle","","Occidental Ave S and S Washington St",47.6009,-122.333,0,5,0,0,0,"Shot - Wounded/Injured
Drive-by (car to street, car to car)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","2023","12",23
