City_or_County,Day,Incident_Date,Incident_ID,Incident_Time,Latitude,Longitude,Month,State_Name,Total_Victims,US_Region,Victims_Injured,Victims_Killed,Year,State_Political_Color,State_PopEstimate,City_PopEstimate
Hawthorne,31,2023-12-31,2790854,12:30 AM,33.9025,-118.327,12,California,6,West,5,1,2023,BLUE,38965193,83364
Horry,31,2023-12-31,2791696,11:12 PM,33.8728,-78.6738,12,South Carolina,4,South,2,2,2023,RED,5373555,397478
Charlotte,31,2023-12-31,2791341,11:30 PM,35.2269,-80.8474,12,North Carolina,5,South,5,0,2023,RED,10835491,911311
Denver,30,2023-12-30,2790081,1:30 AM,39.7402,-105.05,12,Colorado,4,West,2,2,2023,BLUE,5877610,716577
Beaumont,30,2023-12-30,2790633,11:33 PM,30.1409,-94.134,12,Texas,5,South,4,1,2023,RED,30503301,112193
Gainesville,30,2023-12-30,2790559,9:00 PM,29.6662,-82.3037,12,Florida,4,South,4,0,2023,PURPLE,22610726,145812
Orlando,24,2023-12-24,2786002,2:23 AM,28.6391,-81.4463,12,Florida,5,South,3,2,2023,PURPLE,22610726,320742
Colorado Springs,24,2023-12-24,2786444,4:34 PM,38.8431,-104.764,12,Colorado,4,West,3,1,2023,BLUE,5877610,488664
Houston,24,2023-12-24,2786038,3:00 AM,29.6966,-95.3377,12,Texas,5,South,4,1,2023,RED,30503301,2314157
Seattle,23,2023-12-23,2786401,2:45 AM,47.6009,-122.333,12,Washington,5,West,5,0,2023,BLUE,7812880,755078
Fort Worth,23,2023-12-23,2786253,11:15 PM,32.6187,-97.2965,12,Texas,5,South,4,1,2023,RED,30503301,978468
Baltimore,23,2023-12-23,2785646,4:05 AM,39.3166,-76.7378,12,Maryland,5,South,4,1,2023,BLUE,6180253,565239
Queens,22,2023-12-22,2784986,3:15 PM,40.6783,-73.7976,12,New York,4,Northeast,3,1,2023,BLUE,19571216,2252196
Washington,21,2023-12-21,2784291,11:49 AM,38.8731,-77.0109,12,District of Columbia,4,South,2,2,2023,BLUE,678972,678972
Philadelphia,20,2023-12-20,2783287,7:00 PM,39.9118,-75.24,12,Pennsylvania,4,Northeast,3,1,2023,PURPLE,12961683,1550542
Ridgeland,17,2023-12-17,2780660,2:30 AM,32.3203,-80.9373,12,South Carolina,4,South,2,2,2023,RED,5373555,3749
Saraland,17,2023-12-17,2781391,,31.4765,-87.7407,12,Alabama,4,South,4,0,2023,RED,5108468,16435
Memphis,15,2023-12-15,2779489,12:05 AM,35.0408,-89.8317,12,Tennessee,5,South,3,2,2023,RED,7126489,618639
Los Angeles,15,2023-12-15,2779676,2:23 PM,33.9161,-118.27,12,California,5,West,4,1,2023,BLUE,38965193,3820914
Ashland,14,2023-12-14,2779098,8:50 PM,39.921,-90.1188,12,Illinois,4,Midwest,1,3,2023,BLUE,12549689,1177
Madison,12,2023-12-12,2778224,4:00 PM,38.7471,-85.3537,12,Indiana,4,Midwest,0,4,2023,RED,6862199,12208
Las Vegas,11,2023-12-11,2775971,10:03 AM,36.2975,-115.291,12,Nevada,4,West,1,3,2023,BLUE,3194176,660929
Philadelphia,10,2023-12-10,2775245,4:12 AM,39.9869,-75.1605,12,Pennsylvania,4,Northeast,2,2,2023,PURPLE,12961683,1550542
Atlanta,9,2023-12-09,2775006,6:25 PM,33.8393,-84.3795,12,Georgia,4,South,1,3,2023,PURPLE,11029227,510823
Colorado Springs,6,2023-12-06,2773914,11:40 PM,39.0936,-104.419,12,Colorado,4,West,1,3,2023,BLUE,5877610,488664
Las Vegas,6,2023-12-06,2772021,11:46 AM,36.1077,-115.138,12,Nevada,4,West,1,3,2023,BLUE,3194176,660929
Austin,5,2023-12-05,2771255,10:40 AM,30.3242,-97.691,12,Texas,9,South,3,6,2023,RED,30503301,979882
Kershaw,4,2023-12-04,2770296,4:30 AM,34.1612,-80.7245,12,South Carolina,5,South,4,1,2023,RED,5373555,1905
Dallas,3,2023-12-03,2769819,4:20 PM,32.6798,-96.6557,12,Texas,5,South,1,4,2023,RED,30503301,1302868
Houston,3,2023-12-03,2769728,1:47 AM,29.6998,-95.3412,12,Texas,4,South,3,1,2023,RED,30503301,2314157
Vancouver,3,2023-12-03,2770132,1:06 PM,45.6891,-122.554,12,Washington,4,West,0,4,2023,BLUE,7812880,196442
Columbus,2,2023-12-02,2769880,4:30 AM,39.9733,-82.9699,12,Ohio,4,Midwest,4,0,2023,PURPLE,11785935,913175
Cleveland,2,2023-12-02,2770501,3:24 AM,41.5093,-81.6784,12,Ohio,4,Midwest,4,0,2023,PURPLE,11785935,362656
Fresno,2,2023-12-02,2769181,4:20 AM,36.7574,-119.753,12,California,4,West,2,2,2023,BLUE,38965193,545716
Aurora,2,2023-12-02,2769379,12:15 AM,39.7366,-104.861,12,Colorado,4,West,4,0,2023,BLUE,5877610,395052
McComb,2,2023-12-02,2769574,6:45 PM,31.2269,-90.463,12,Mississippi,5,South,5,0,2023,RED,2939690,11914
Las Vegas,1,2023-12-01,2768663,5:30 PM,36.1589,-115.094,12,Nevada,5,West,4,1,2023,BLUE,3194176,660929
Lexington,29,2023-11-29,2767813,9:30 PM,35.7161,-80.2682,11,North Carolina,5,South,5,0,2023,RED,10835491,19840
Chicago,29,2023-11-29,2767246,8:33 PM,41.873,-87.7158,11,Illinois,4,Midwest,3,1,2023,BLUE,12549689,2664452
Forsyth,26,2023-11-26,2764105,2:30 AM,36.1459,-80.2268,11,North Carolina,4,South,4,0,2023,RED,10835491,392921
Los Angeles,26,2023-11-26,2764540,3:00 AM,33.9355,-118.291,11,California,4,West,0,4,2023,BLUE,38965193,3820914
Fontana,25,2023-11-25,2766505,5:30 AM,34.1292,-117.466,11,California,4,West,1,3,2023,BLUE,38965193,215465
Memphis,23,2023-11-23,2763545,9:30 PM,35.0948,-89.9725,11,Tennessee,4,South,4,0,2023,RED,7126489,618639
Decatur,23,2023-11-23,2762964,3:00 AM,33.6978,-84.2499,11,Georgia,4,South,4,0,2023,PURPLE,11029227,24307
Chicago,23,2023-11-23,2762712,12:10 AM,41.88,-87.6772,11,Illinois,5,Midwest,5,0,2023,BLUE,12549689,2664452
Lumberton,22,2023-11-22,2762803,11:44 PM,34.6188,-79.0081,11,North Carolina,6,South,6,0,2023,RED,10835491,19121
Goodman,22,2023-11-22,2762681,12:00 PM,32.9708,-89.9117,11,Mississippi,4,South,3,1,2023,RED,2939690,1181
Philadelphia,21,2023-11-21,2761566,8:30 PM,40.0001,-75.1401,11,Pennsylvania,7,Northeast,5,2,2023,PURPLE,12961683,1550542
Fairborn,20,2023-11-20,2760537,8:30 PM,39.7706,-84.0575,11,Ohio,4,Midwest,4,0,2023,PURPLE,11785935,34729
Westcliffe,20,2023-11-20,2760730,1:00 PM,38.2155,-105.361,11,Colorado,4,West,1,3,2023,BLUE,5877610,495
Port Arthur,19,2023-11-19,2759654,12:20 AM,29.9198,-93.9219,11,Texas,5,South,5,0,2023,RED,30503301,55547
