STATE_NAME,COLOR
Alabama,RED
Alaska,RED
Arizona,PURPLE
Arkansas,RED
California,BLUE
Colorado,BLUE
Connecticut,BLUE
Delaware,BLUE
District of columbia,BLUE
Florida,PURPLE
Georgia,PURPLE
Hawaii,BLUE
Idaho,RED
Illinois,BLUE
Indiana,RED
Iowa,PURPLE
Kansas,RED
Kentucky,RED
Louisiana,RED
Maine,BLUE
Maryland,BLUE
Massachusetts,BLUE
Michigan,PURPLE
Minnesota,BLUE
Mississippi,RED
Missouri,RED
Montana,RED
Nebraska,RED
Nevada,BLUE
New hampshire,BLUE
New jersey,BLUE
New mexico,BLUE
New york,BLUE
North carolina,RED
North dakota,RED
Ohio,PURPLE
Oklahoma,RED
Oregon,BLUE
Pennsylvania,PURPLE
Rhode island,BLUE
South carolina,RED
South dakota,RED
Tennessee,RED
Texas,RED
Utah,RED
Vermont,BLUE
Virginia,BLUE
Washington,BLUE
West virginia,RED
Wisconsin,PURPLE
Wyoming,RED
